[English Conversation 38](#English-Conversation-38)  
  
## English Conversation 38
[English Conversation 38](https://www.youtube.com/watch?v=oMe5oKH0Vqk&t=1466s)   
  
  
__|__
to show you some of our premier pieces|чтобы показать вам некоторые из наших главных произведений
like this sleek and stylish lounge chair|как это гладкое и стильное кресло для отдыха
all our lounges are covered in 100% genuine leather|все наши салоны покрыты 100% натуральной кожей
and built with solid steel frame construction|и построен с прочной стальной рамной конструкцией
take a look at that|взгляни на это
talk about well-made|говорить о хорошо сделанном
or take a look at this super sleeper sofa|или взгляните на этот супер спальный диван
why it's one of the most comfortable sofas|почему это один из самых удобных диванов
you'll ever lay your head on|ты когда-нибудь положишь голову
it's true see for yourself|это правда, посмотрите сами
you know folks furniture showroom is not one of those fly-by-night operations|вы знаете, ребята, мебельный салон - не из тех однодневок
here today gone tomorrow|здесь сегодня ушел завтра
our company was founded in 1982 with only three hard-working employees|наша компания была основана в 1982 году всего с тремя трудолюбивыми сотрудниками
my wife my son and me|моя жена, мой сын и я
here Furniture Showroom we really pride ourselves in giving you the best product at the right price|здесь Мебельный салон, мы действительно гордимся тем, что предоставляем вам лучший продукт по разумной цене.
so come on down to Furniture Showroom and take a look at our|так что приходите в выставочный зал мебели и взгляните на наши
hey what happened to that TV commercial|эй, что случилось с той рекламой?
the one I couldn't do because I was sick|тот, который я не мог сделать, потому что был болен
you mean the one where like fell asleep on my first paying client|Вы имеете в виду тот, где вроде заснул на моем первом платежеспособном клиенте
I just sent in the tape last week|Я только что отправил ленту на прошлой неделе
who who knows what'll happen|кто знает, что будет
look I said I was sorry|смотри, я сказал, что сожалею
plus that couch was really comfortable|плюс этот диван был действительно удобным
hello|Здравствуйте
this is|это
oh hello mr. Howard|о привет мистер Говард
yeah|да уж
uh-huh|Ага
okay great|хорошо отлично
thank you|Спасибо
well|Что ж
they loved it|они любили это
they just booked me for another five commercials|они только что заказали мне еще пять рекламных роликов
mr. Howard said that the big guy who fell asleep on the couch was the best part|Мистер. Говард сказал, что здоровяк, который заснул на диване, был лучшей частью
well you know if this calls for don't you|ну вы знаете, если это требует, не так ли
yeah|да уж
an apology|извинения
no|нет
an encore|выход на бис
[Music]|[Музыка]
hi|Здравствуй
thank goodness you're here|слава богу, ты здесь
this morning she almost fainted then she felt very tired|сегодня утром она чуть не упала в обморок потом почувствовала себя очень уставшей
and now she says she feels very light-headed|а теперь она говорит, что чувствует головокружение
I don't know what to do|Я не знаю что делать
has she seen a doctor|она видела врача
she won't go|она не пойдет
she said she just needs to get some rest|она сказала, что ей просто нужно немного отдохнуть
did anything happen|что-нибудь случилось
nothing added the ordinary|ничего не добавило обычного
the worst thing is she has this meeting with the president of the University tonight|Хуже всего то, что у нее сегодня вечером встреча с президентом университета
she's been pretty anxious about it|она очень беспокоилась об этом
okay let's take a look|хорошо, давай посмотрим
Sun-Hee Mikan Takeshi are here|Сун-Хи Микан Такеши здесь
hi|Здравствуй
how are you feeling|как ты себя чувствуешь
very tired|очень уставший
and I feel dizzy|и у меня кружится голова
my stomach is killing me|мой живот убивает меня
ah I think I might even have a fever|ах, я думаю, у меня может даже подняться температура
oh why do I have that meeting with the president tonight|о, почему у меня сегодня встреча с президентом
I can't stop thinking about it|Я не могу перестать думать об этом
eat something|съешь что-нибудь
you'll feel better|ты почувствуешь себя лучше
are you kidding|Ты шутишь
I can't eat|Я не могу есть
I'm not hungry|я не голоден
maybe you should go for a walk you know get some fresh air|Может тебе стоит прогуляться, знаешь, подышать свежим воздухом
no I just need to rest|нет, мне просто нужно отдохнуть
hello|Здравствуйте
yes|да
no this is her roommate Tara|нет, это ее соседка по комнате Тара
what|какие
okay|Ладно
I'll let her know|Я дам ей знать
Thanks|Благодарность
that was the president's secretary|это был секретарь президента
what did she say|что она сказала
she told me to tell you that tonight's meeting has been canceled|она сказала мне сказать вам, что сегодняшняя встреча была отменена
oh thank goodness|о, слава богу
Mike can you hand me that orange juice|Майк, можешь передать мне апельсиновый сок?
I don't know|Я не знаю
maybe we should call a doctor|может нам стоит вызвать врача
yeah maybe we should|да может нам стоит
what's the matter|в чем дело
haven't you ever seen anyone eating before|ты никогда раньше не видел, чтобы кто-нибудь ел?
I take it you're feeling better|Я так понимаю тебе лучше
I am feeling pretty good|Я чувствую себя неплохо
it must be a miracle or something|это должно быть чудо или что-то в этом роде
or a lucky phone call|или удачный телефонный звонок
[Music]|[Музыка]
that's beautiful|это красиво
oh I hope I get that good someday|о, я надеюсь, что когда-нибудь получу это хорошо
you will if you stick with it|ты будешь, если будешь придерживаться этого
how long have you been playing the guitar|как долго ты играешь на гитаре
I've been playing since I was a teenager|Я играю с подросткового возраста
but I've only really been studying it seriously for about a year|но я серьезно изучаю это только около года
how long did you say you've been playing the flute|как долго ты сказал, что играешь на флейте
well like I said I took lessons when I was a kid but I hated it|ну, как я уже сказал, я брал уроки, когда был ребенком, но я ненавидел это
I started playing about two months ago|Я начал играть около двух месяцев назад
and I'm really enjoying it this time|и мне это очень нравится на этот раз
but like I told you I'm not very good yet|но, как я уже говорил, я еще не очень хорош
well have you been practicing|хорошо ты тренировался
practice makes perfect|практика делает совершенным
yeah I practice sometimes but I have trouble doing it at home|да, я иногда практикуюсь, но у меня проблемы с этим дома
Tara and Son-Hee both been studying a lot lately|Тара и Сон-Хи в последнее время много учились
and they keep telling me they need peace and quiet|И они продолжают говорить мне, что им нужен тишина и покой
so there's nowhere for me to practice|так что мне негде практиковаться
well don't worry|ну не волнуйся
that's what we're going to do today|это то, что мы собираемся сделать сегодня
and remember you can always come and play here|и помни, ты всегда можешь прийти и поиграть здесь
thanks|Благодарность
okay|Ладно
ready to try one|готов попробовать один
sure|конечно
let's see|посмотрим
how about this one|как насчет этого
ah that looks a little difficult|ах это выглядит немного сложно
okay let's see have you ever played this one|хорошо, давай посмотрим, ты когда-нибудь играл в эту
uh nope|а нет
I've never played it and probably never will|Я никогда не играл в нее и, наверное, никогда не буду
it looks a little tough|это выглядит немного жестко
