[English Conversation 19](#English-Conversation-19)  
  
## English Conversation 19
[English Conversation 19](https://www.youtube.com/watch?v=Y7DIw84LOEU)   
  
  
__|__
oh our knives and forks|о наши ножи и вилки
knife fork and spoon|нож, вилка и ложка
is the table set|стол накрыт
uh yes I guess|да я думаю
good sit down please|хорошо сядь пожалуйста
dinner is ready|обед готов
are we having dinner now|мы сейчас обедаем?
why of course dear|почему конечно дорогой
what are we having|что у нас есть
we are having soup and salad do you like chicken soup Elena|у нас есть суп и салат ты любишь куриный суп Елена
yes thank you|да спасибо
oh please put the napkins on the table Victor|ой пожалуйста положите салфетки на стол Виктор
oh sorry|ой, извини
um here they are|эм вот они
my silly Victor he forgets everything|мой глупый Виктор он все забывает
everything|все
here is your soup help yourselves to the bread|вот ваш суп угощайтесь хлебом
thank you Agatha|спасибо Агата
you're welcome my dear|всегда пожалуйста, дорогой
it's so nice to have you here|так приятно видеть тебя здесь
yes it's it's nice to have you here|да, это приятно, что ты здесь
thank you|Спасибо
that's very kind|Это очень любезно с
nonsense|ерунда
now let's eat|теперь давайте поесть
how's your soup|как твой суп
it's delicious|это вкусно
what's wrong dear|что случилось дорогой
don't you like it|тебе это не нравится
oh well|Ну что ж
you don't feel well|ты плохо себя чувствуешь
no I'm sorry it is a bit early for me|нет, извини, для меня еще рано
I am not really hungry|Я не очень голоден
not hungry|не голоден
um what time does your family eat dinner back in Spain|эм, во сколько ваша семья обедает в Испании
uh we eat dinner at 10 o'clock at home|мы ужинаем в 10 часов дома
wow|Вау
imagine that|представь это
we're usually in bed before midnight|мы обычно ложимся до полуночи
Elena darling you must forgive our strange|Елена дорогая, ты должен простить нашу странную
english habits|английские привычки
no it is all a bit strange for me now|нет, для меня сейчас все немного странно
my poor dear|моя бедная дорогая
you must be exhausted|ты должно быть устал
maybe you should go to bed uh soon Elena|Может тебе поскорее лечь спать, Елена
yes please uh I'm sorry|да, пожалуйста, прости
no|нет
don't worry|не волнуйся
you go in and sleep|иди и спи
thank you both|Спасибо вам обоим
good night Elena|спокойной ночи елена
night|ночь
good night|спокойной ночи
sleep well dear|спать спокойно дорогой
not again Agatha|не снова Агата
don't do this to me again|не делай этого со мной снова
why my darling brother|почему мой дорогой брат
what are you talking about|О чем ты говоришь
oh|ой
good morning|доброе утро
you're up uh early|ты рано встал
yes I'm looking for um for my|да, я ищу для своего
um for your keys|эм для твоих ключей
yeah thank you|да спасибо
thank you Victor|спасибо Виктор
um do your classes start today|Уроки начинаются сегодня
no I start classes on wednesday|нет, я начинаю занятия в среду
I'm looking for a job today|Я ищу работу сегодня
oh um it's a good idea to get the the paper early|о, это хорошая идея получить газету пораньше
can I can I make you some tea|могу я приготовить тебе чаю
do you have coffee|у тебя есть кофе
sorry I'm not sure if we have any coffee|извини, я не уверен, есть ли у нас кофе
let me have a look|дай мне взглянуть
darling good morning|дорогая доброе утро
oh good morning Agatha|о, доброе утро, Агата
what a clever girl|какая умная девушка
you're doing morning exercises|ты делаешь утреннюю зарядку
uh yes|ах да
yes|да
did you sleep well|хорошо ли спалось
very well|отлично
I'm sorry no coffee maybe we should add it to the shopping list|Извините, кофе нет, может, стоит добавить его в список покупок
oh yes yes|о да да
tell me what you need|скажите, что вам нужно
I'm going shopping with my sister betty|Я иду по магазинам с сестрой Бетти
oh coffee would be nice|о, кофе было бы неплохо
well what are your plans for today sweetheart|хорошо, каковы твои планы на сегодня, дорогая
oh she's hunting|о, она охотится
she's looking for a part-time job|она ищет подработку
how industrious|как трудолюбивый
well a pretty girl like you will have no trouble finding a job|Что ж, у такой красивой девушки, как ты, не будет проблем с поиском работы
here's the paper|вот бумага
thanks|Благодарность
and look there's one|и посмотри, есть один
it's uh here in kensington|это здесь, в Кенсингтоне
a video store on the high street|видеомагазин на главной улице
oh young person with excellent communication skills|о молодой человек с отличными коммуникативными навыками
that's perfect|это идеально
yeah and afternoon shifts thursdays saturdays and sundays|да и дневные смены по четвергам, субботам и воскресеньям
uh where is the high street|а где главная улица
just make a left at the top of our road onto hornton|просто поверните налево в верхней части нашей дороги на Хорнтон
and then make another left onto the ligh street|а затем поверните налево на светлую улицу
the store is on your right|магазин справа от вас
next to the tube station|рядом со станцией метро
uh the tube|эээ трубка
um I'll walk you up there|эм, я провожу тебя туда
okay|Ладно
thank you that is very kind of you|спасибо, что вы очень любезны
nonsense my brother's a gentleman|чушь мой брат джентльмен
um go get ready and I'll meet you downstairs in 15 minutes okay|Пойди, готовься, я встречу тебя внизу через 15 минут, ладно
okay|Ладно
well good luck my dear|что ж, удачи моя дорогая
have a nice day|хорошего дня
thanks you too Agatha|спасибо тебе тоже агата
I'll see you in a little while|Увидимся через некоторое время
bye bye bye|пока пока пока
hello hello|Привет привет
how was your day|как прошел день
fabulous fabulous|сказочный сказочный
fabulous is excellent|сказочно отлично
I had a fabulous day too|У меня тоже был сказочный день
uh going shopping|иду за покупками
yes|да
Betty and I shopped all day|Бетти и я весь день ходили по магазинам
look at my new nail polish|посмотри на мой новый лак для ногтей
and this blouse is new|и эта блузка новая
it looks divinebon me don't you think|это выглядит божественно, мне тебе не кажется
it's very beautiful|это очень красиво
and I have a skirt to go with it and a pair of boots|и у меня есть юбка и пара сапог
lovely|прекрасный
of course betty is jealous|конечно Бетти ревнует
she says I spend too much money on clothes|она говорит, что я трачу слишком много денег на одежду
hi girls|Привет девчонки
it's getting cold out there|там становится холодно
I think it's going to rain|Я думаю пойдет дождь
oh I hope not|о, я надеюсь, что нет
had a productive day|был продуктивный день
Agatha|Агата
yes delightful|да восхитительно
and how was your interview Elena|а как прошло ваше интервью Елена
uh|ээ
productive|продуктивный
I start work on thursday after the school|Я начинаю работу в четверг после школы
congratulations|поздравления
well done darling|молодец дорогой
and um when do you finish work|и когда ты закончишь работу
um my shifts are from three to seven|эм мои смены с трех до семи
and what will you do at the store|и что ты будешь делать в магазине
I put the videos on their shelves|Я кладу видео на их полки
and I find information on the computer for customers|и я нахожу информацию на компьютере для клиентов
I love movies|Я люблю фильмы
do you know what my favorite movie is|ты знаешь, какой мой любимый фильм
no what is your favorite movie|нет какой твой любимый фильм
butterfield eight well any movie with liz taylor|баттерфилд восемь колодцев любой фильм с лиз тейлор
um I don't know it A|эм я не знаю это
gatha watches it a lot|Гата много смотрит на это
betty has the video|У Бетти есть видео
oh I would like to see the movie too|о, я бы тоже хотел посмотреть фильм
you will love it|ты полюбишь это
liz|Лиз
wears the most brilliant clothes|носит самую блестящую одежду
and lawrence harvey|и Лоуренс Харви
what a man|какой человек
do you like it Victor|тебе нравится Виктор
it's a bit old for me|для меня это немного устарело
I prefer science fiction and fantasy stories|Я предпочитаю научную фантастику и фантастические рассказы
when I finish my course|когда я закончу свой курс
I'd like to try painting sets for films|Хочу попробовать наборы для рисования к фильмам
oh that sounds exciting|о, это звучит захватывающе
speaking of clothing|говоря об одежде
do you have a warm coat Elena|у тебя есть теплое пальто Елена
this is my coat|это мое пальто
oh you will die of cold in that coat|о, ты умрешь от холода в этом пальто
you will really need a warmer coat soon Elena|тебе очень скоро понадобится теплая шуба Елена
it gets very cold in London|в Лондоне становится очень холодно
not like sunny barcelona|не как солнечная барселона
Madrid|Мадрид
um we might get some some snow at christmas|у нас может быть снег на рождество
no no that will|нет нет это будет
be a new experience for you|быть новым опытом для вас
yes|да
oh wonderful|о, замечательно
you don't have school tomorrow|у тебя завтра нет школы
let's go shopping|пойдем по магазинам
okay let's go shopping|хорошо, пойдем по магазинам
  
  
